# EPOCH_SEC  ENERGY_J  POWER_W
1484596747.477893 940716.000000 136.010000
1484596747.582518 940716.000000 131.540000
1484596747.702178 940716.000000 132.860000
1484596747.806647 940716.000000 132.840000
1484596747.911146 940716.000000 132.570000
1484596748.026028 940716.000000 132.100000
1484596748.130518 940716.000000 132.480000
1484596748.235348 940716.000000 132.750000
1484596748.353460 940716.000000 132.770000
1484596748.457899 940716.000000 132.800000
1484596748.567297 940716.000000 132.540000
1484596748.684357 940716.000000 132.440000
1484596748.788896 940716.000000 132.250000
1484596748.893420 940716.000000 132.690000
1484596749.012591 940716.000000 132.130000
1484596749.117024 940716.000000 132.480000
1484596749.221518 940716.000000 132.030000
1484596749.336511 940716.000000 132.280000
1484596749.441019 940716.000000 132.430000
1484596749.545517 940716.000000 133.060000
1484596749.663496 940716.000000 131.980000
1484596749.770899 940716.000000 132.000000
1484596749.875423 940716.000000 132.260000
1484596749.993460 940716.000000 132.590000
1484596750.098021 940716.000000 132.310000
1484596750.202655 940716.000000 132.740000
1484596750.322237 940716.000000 132.480000
1484596750.426778 940716.000000 132.740000
1484596750.531294 940716.000000 132.850000
1484596750.646167 940716.000000 132.290000
1484596750.750650 940716.000000 131.990000
1484596750.855148 940716.000000 132.280000
1484596750.973363 940716.000000 132.650000
1484596751.077899 940716.000000 132.440000
1484596751.185284 940716.000000 132.370000
1484596751.303431 940716.000000 131.960000
1484596751.407897 940716.000000 132.670000
1484596751.512519 940716.000000 133.200000
1484596751.632186 940716.000000 132.860000
1484596751.736641 940716.000000 132.220000
1484596751.841167 940716.000000 132.470000
1484596751.956032 940716.000000 132.440000
1484596752.060537 940716.000000 132.310000
1484596752.169899 940716.000000 132.450000
1484596752.285516 940716.000000 132.360000
1484596752.390026 940716.000000 132.680000
1484596752.494534 940716.000000 132.560000
1484596752.613089 940716.000000 132.240000
1484596752.717622 940716.000000 132.440000
1484596752.822148 940716.000000 132.660000
1484596752.942006 940716.000000 132.420000
1484596753.046519 940716.000000 132.320000
1484596753.151026 940716.000000 131.880000
1484596753.265970 940716.000000 132.300000
1484596753.370900 940716.000000 132.410000
1484596753.475422 940716.000000 133.240000
1484596753.593461 940716.000000 132.960000
1484596753.697901 940716.000000 132.490000
1484596753.802579 940716.000000 132.150000
1484596753.922193 940716.000000 132.900000
1484596754.026653 940716.000000 132.170000
1484596754.131292 940716.000000 132.080000
1484596754.246088 940716.000000 132.680000
1484596754.350620 940716.000000 132.570000
1484596754.455145 940716.000000 131.950000
1484596754.573361 940716.000000 132.890000
1484596754.677902 940716.000000 132.710000
1484596754.782420 940716.000000 132.130000
1484596754.902123 940716.000000 132.690000
1484596755.006645 940716.000000 132.240000
1484596755.111150 940716.000000 132.200000
1484596755.226031 940716.000000 132.720000
1484596755.330520 940716.000000 132.290000
1484596755.435025 940716.000000 131.980000
1484596755.553325 940716.000000 132.970000
1484596755.657778 940716.000000 133.010000
1484596755.767151 940716.000000 132.760000
1484596755.884250 940716.000000 132.060000
1484596755.988774 940716.000000 132.820000
1484596756.093421 940716.000000 132.450000
1484596756.212572 940716.000000 132.530000
1484596756.317025 940716.000000 132.250000
1484596756.421657 940716.000000 131.960000
1484596756.536253 940716.000000 132.650000
1484596756.640779 940716.000000 132.690000
1484596756.745298 940716.000000 132.810000
1484596756.863406 940716.000000 132.570000
1484596756.974022 940716.000000 132.220000
1484596757.078518 940716.000000 132.480000
1484596757.194856 940716.000000 132.630000
1484596757.299435 940716.000000 132.550000
1484596757.403900 940716.000000 132.080000
1484596757.522822 940716.000000 132.890000
1484596757.627299 940716.000000 133.190000
1484596757.731906 940716.000000 132.290000
1484596757.846369 940716.000000 132.610000
1484596757.950903 940716.000000 132.840000
1484596758.055422 940716.000000 132.350000
1484596758.173463 940716.000000 132.560000
1484596758.278027 940716.000000 132.590000
1484596758.382540 940716.000000 132.620000
1484596758.502181 940716.000000 132.250000
1484596758.606649 940716.000000 132.740000
1484596758.711290 940716.000000 132.690000
1484596758.826089 940716.000000 132.660000
1484596758.930628 940716.000000 132.470000
1484596759.035153 940716.000000 132.650000
1484596759.153369 940716.000000 132.450000
1484596759.257898 940716.000000 132.480000
1484596759.367299 940716.000000 132.740000
1484596759.484366 940716.000000 132.720000
1484596759.588898 940716.000000 133.070000
1484596759.693426 940716.000000 132.340000
1484596759.812551 940716.000000 132.240000
1484596759.917024 940716.000000 132.530000
1484596760.021540 940716.000000 132.160000
1484596760.136193 940716.000000 132.900000
1484596760.240789 940716.000000 132.680000
1484596760.345297 940716.000000 132.480000
1484596760.463410 940716.000000 132.570000
1484596760.570903 940716.000000 132.470000
1484596760.675426 940716.000000 131.900000
1484596760.793471 940716.000000 132.530000
1484596760.898026 940716.000000 132.730000
1484596761.002653 940716.000000 132.360000
1484596761.122235 940716.000000 132.130000
1484596761.226782 940716.000000 132.410000
1484596761.331425 940716.000000 132.580000
1484596761.446144 940716.000000 132.460000
1484596761.550653 940716.000000 132.780000
1484596761.655146 940716.000000 132.840000
1484596761.773358 940716.000000 132.770000
