# EPOCH_SEC  ENERGY_J  POWER_W
1484596809.406044 940716.000000 146.220000
1484596809.510637 940716.000000 137.190000
1484596809.625817 940716.000000 133.330000
1484596809.730434 940716.000000 132.170000
1484596809.834928 940716.000000 132.030000
1484596809.953247 940716.000000 132.420000
1484596810.057795 940716.000000 132.020000
1484596810.167164 940716.000000 133.110000
1484596810.284316 940716.000000 133.250000
1484596810.388794 940716.000000 132.280000
1484596810.493438 940716.000000 132.410000
1484596810.612605 940716.000000 132.600000
1484596810.717042 940716.000000 132.970000
1484596810.821645 940716.000000 133.690000
1484596810.936263 940716.000000 133.210000
1484596811.040795 940716.000000 132.490000
1484596811.145310 940716.000000 132.700000
1484596811.263405 940716.000000 132.440000
1484596811.370670 940716.000000 132.320000
1484596811.475169 940716.000000 133.500000
1484596811.593370 940716.000000 131.750000
1484596811.697918 940716.000000 132.520000
1484596811.802441 940716.000000 132.730000
1484596811.922125 940716.000000 132.410000
1484596812.026672 940716.000000 132.420000
1484596812.131168 940716.000000 131.920000
1484596812.246023 940716.000000 131.710000
1484596812.350535 940716.000000 132.240000
1484596812.455046 940716.000000 131.970000
1484596812.573307 940716.000000 131.890000
1484596812.677794 940716.000000 132.190000
1484596812.782315 940716.000000 131.860000
1484596812.902090 940716.000000 132.580000
1484596813.006497 940716.000000 132.170000
1484596813.111044 940716.000000 132.160000
1484596813.231484 940716.000000 131.890000
1484596813.335911 940716.000000 133.090000
1484596813.440439 940716.000000 131.870000
1484596813.555714 940716.000000 133.150000
1484596813.660166 940716.000000 133.190000
1484596813.769524 940716.000000 132.570000
1484596813.885326 940716.000000 132.870000
1484596813.989795 940716.000000 132.560000
1484596814.094320 940716.000000 132.900000
1484596814.212974 940716.000000 132.370000
1484596814.317559 940716.000000 132.250000
1484596814.422046 940716.000000 132.290000
1484596814.541969 940716.000000 132.200000
1484596814.646444 940716.000000 132.540000
1484596814.751050 940716.000000 131.920000
1484596814.871485 940716.000000 132.670000
1484596814.976046 940716.000000 132.400000
1484596815.080511 940716.000000 132.430000
1484596815.195737 940716.000000 132.680000
1484596815.300317 940716.000000 135.390000
1484596815.404798 940716.000000 132.240000
1484596815.523192 940716.000000 132.260000
1484596815.627672 940716.000000 132.030000
1484596815.732174 940716.000000 131.910000
1484596815.852028 940716.000000 132.170000
1484596815.956536 940716.000000 132.520000
1484596816.061048 940716.000000 132.270000
1484596816.189214 940716.000000 132.450000
1484596816.293676 940716.000000 132.370000
1484596816.398168 940716.000000 132.270000
1484596816.514705 940716.000000 132.040000
1484596816.619168 940716.000000 132.310000
1484596816.723671 940716.000000 132.040000
1484596816.842711 940716.000000 132.200000
1484596816.947170 940716.000000 132.240000
1484596817.051673 940716.000000 132.290000
1484596817.166256 940716.000000 132.400000
1484596817.270815 940716.000000 132.380000
1484596817.377769 940716.000000 132.000000
1484596817.494553 940716.000000 132.550000
1484596817.599042 940716.000000 132.300000
1484596817.703503 940716.000000 131.950000
1484596817.822641 940716.000000 131.820000
1484596817.927172 940716.000000 132.350000
1484596818.031678 940716.000000 132.250000
1484596818.146248 940716.000000 132.090000
1484596818.250793 940716.000000 131.860000
1484596818.355315 940716.000000 132.530000
1484596818.473421 940716.000000 132.810000
1484596818.577920 940716.000000 132.010000
1484596818.682444 940716.000000 132.000000
1484596818.802131 940716.000000 132.700000
1484596818.906675 940716.000000 132.460000
1484596819.011315 940716.000000 131.640000
1484596819.126095 940716.000000 132.380000
1484596819.230674 940716.000000 132.540000
1484596819.335143 940716.000000 132.640000
1484596819.453392 940716.000000 132.110000
1484596819.557924 940716.000000 132.670000
1484596819.667326 940716.000000 132.180000
1484596819.784371 940716.000000 132.260000
1484596819.888796 940716.000000 132.450000
1484596819.993322 940716.000000 131.820000
1484596820.112510 940716.000000 132.390000
1484596820.217049 940716.000000 132.370000
1484596820.321645 940716.000000 132.550000
1484596820.436281 940716.000000 132.180000
1484596820.540794 940716.000000 132.440000
1484596820.645318 940716.000000 133.120000
1484596820.763418 940716.000000 132.270000
1484596820.871154 940716.000000 132.740000
1484596820.975677 940716.000000 131.550000
1484596821.093600 940716.000000 132.520000
