# EPOCH_SEC  ENERGY_J  POWER_W
1484596888.156699 940716.000000 144.910000
1484596888.261338 940716.000000 132.260000
1484596888.389116 940716.000000 133.710000
1484596888.493558 940716.000000 133.340000
1484596888.598091 940716.000000 133.550000
1484596888.720221 940716.000000 133.330000
1484596888.824701 940716.000000 133.560000
1484596888.929194 940716.000000 133.630000
1484596889.045155 940716.000000 133.770000
1484596889.149698 940716.000000 133.520000
1484596889.254201 940716.000000 133.530000
1484596889.372927 940716.000000 133.720000
1484596889.477466 940716.000000 134.080000
1484596889.582087 940716.000000 132.760000
1484596889.701983 940716.000000 132.810000
1484596889.806472 940716.000000 132.460000
1484596889.911089 940716.000000 132.950000
1484596890.031511 940716.000000 132.680000
1484596890.136086 940716.000000 132.300000
1484596890.240668 940716.000000 132.400000
1484596890.355816 940716.000000 132.390000
1484596890.460354 940716.000000 132.860000
1484596890.569568 940716.000000 132.870000
1484596890.685332 940716.000000 132.980000
1484596890.789820 940716.000000 133.000000
1484596890.894343 940716.000000 133.000000
1484596891.012973 940716.000000 133.170000
1484596891.117470 940716.000000 133.070000
1484596891.222087 940716.000000 132.470000
1484596891.342112 940716.000000 132.100000
1484596891.446561 940716.000000 133.010000
1484596891.551087 940716.000000 133.870000
1484596891.671512 940716.000000 132.560000
1484596891.776089 940716.000000 133.050000
1484596891.880534 940716.000000 132.930000
1484596891.995766 940716.000000 132.640000
1484596892.100349 940716.000000 132.740000
1484596892.204821 940716.000000 133.150000
1484596892.323202 940716.000000 133.950000
1484596892.427690 940716.000000 132.740000
1484596892.532446 940716.000000 132.560000
1484596892.652509 940716.000000 132.980000
1484596892.757089 940716.000000 132.410000
1484596892.867007 940716.000000 132.790000
1484596892.985004 940716.000000 132.830000
1484596893.089565 940716.000000 132.610000
1484596893.194087 940716.000000 132.740000
1484596893.312873 940716.000000 136.840000
1484596893.417470 940716.000000 132.630000
1484596893.522088 940716.000000 132.570000
1484596893.641970 940716.000000 133.150000
1484596893.746456 940716.000000 132.320000
1484596893.851086 940716.000000 132.470000
1484596893.971510 940716.000000 132.560000
1484596894.076083 940716.000000 133.000000
1484596894.180704 940716.000000 132.920000
1484596894.295829 940716.000000 132.840000
1484596894.400346 940716.000000 132.920000
1484596894.504819 940716.000000 132.360000
1484596894.623205 940716.000000 132.910000
1484596894.730588 940716.000000 132.380000
