# EPOCH_SEC  ENERGY_J  POWER_W
1484597201.557802 940716.000000 144.480000
1484597201.667178 940716.000000 132.280000
1484597201.784245 940716.000000 133.820000
1484597201.888802 940716.000000 134.270000
1484597201.993321 940716.000000 133.230000
1484597202.112524 940716.000000 134.120000
1484597202.217077 940716.000000 133.890000
1484597202.321630 940716.000000 133.120000
1484597202.436266 940716.000000 133.240000
1484597202.540802 940716.000000 133.970000
1484597202.645323 940716.000000 133.680000
1484597202.768985 940716.000000 133.920000
1484597202.873562 940716.000000 134.060000
1484597202.978072 940716.000000 133.230000
1484597203.100153 940716.000000 133.660000
1484597203.204660 940716.000000 134.540000
1484597203.309329 940716.000000 135.140000
1484597203.432104 940716.000000 132.920000
1484597203.536559 940716.000000 133.720000
1484597203.641181 940716.000000 133.180000
1484597203.756029 940716.000000 133.160000
1484597203.865928 940716.000000 133.380000
1484597203.971931 940716.000000 132.980000
1484597204.086376 940716.000000 133.400000
1484597204.190927 940716.000000 133.620000
1484597204.295410 940716.000000 133.360000
1484597204.413470 940716.000000 133.240000
1484597204.517929 940716.000000 132.740000
1484597204.622449 940716.000000 133.390000
1484597204.742122 940716.000000 133.200000
1484597204.846660 940716.000000 132.580000
1484597204.951323 940716.000000 133.140000
1484597205.071618 940716.000000 133.470000
1484597205.176182 940716.000000 133.450000
1484597205.280808 940716.000000 133.210000
1484597205.395872 940716.000000 133.390000
1484597205.500450 940716.000000 133.440000
1484597205.604939 940716.000000 133.590000
1484597205.723310 940716.000000 133.160000
1484597205.827801 940716.000000 133.180000
1484597205.932328 940716.000000 133.400000
1484597206.052093 940716.000000 133.400000
1484597206.156524 940716.000000 133.300000
1484597206.266070 940716.000000 133.310000
1484597206.383810 940716.000000 133.720000
1484597206.488335 940716.000000 134.210000
1484597206.592804 940716.000000 133.300000
1484597206.712312 940716.000000 133.180000
1484597206.816806 940716.000000 132.780000
1484597206.921448 940716.000000 133.590000
1484597207.036144 940716.000000 133.580000
1484597207.140673 940716.000000 133.400000
1484597207.245176 940716.000000 132.930000
1484597207.363359 940716.000000 132.770000
1484597207.468667 940716.000000 133.870000
1484597207.573180 940716.000000 133.040000
1484597207.692463 940716.000000 133.110000
1484597207.796916 940716.000000 132.650000
1484597207.901451 940716.000000 133.320000
1484597208.016149 940716.000000 133.630000
1484597208.120668 940716.000000 133.100000
1484597208.225181 940716.000000 133.260000
1484597208.343492 940716.000000 133.500000
1484597208.448075 940716.000000 133.300000
1484597208.552525 940716.000000 133.530000
1484597208.672180 940716.000000 133.480000
1484597208.776669 940716.000000 132.420000
1484597208.881330 940716.000000 133.960000
1484597209.001618 940716.000000 133.780000
1484597209.106084 940716.000000 133.410000
1484597209.210633 940716.000000 133.550000
1484597209.325823 940716.000000 133.800000
1484597209.430466 940716.000000 133.280000
1484597209.534928 940716.000000 134.420000
1484597209.653315 940716.000000 133.790000
1484597209.757799 940716.000000 132.720000
1484597209.867806 940716.000000 133.600000
1484597209.984529 940716.000000 133.100000
1484597210.089071 940716.000000 133.390000
1484597210.193554 940716.000000 133.280000
1484597210.312633 940716.000000 132.980000
1484597210.417180 940716.000000 133.320000
1484597210.521670 940716.000000 133.120000
1484597210.636264 940716.000000 133.240000
1484597210.740804 940716.000000 132.910000
1484597210.845326 940716.000000 133.230000
1484597210.968987 940716.000000 132.930000
1484597211.073562 940716.000000 133.060000
1484597211.178073 940716.000000 132.820000
1484597211.300172 940716.000000 133.030000
1484597211.404687 940716.000000 133.070000
1484597211.509325 940716.000000 133.770000
1484597211.630722 940716.000000 133.580000
1484597211.735183 940716.000000 133.210000
1484597211.839667 940716.000000 133.300000
1484597211.955391 940716.000000 132.860000
1484597212.059930 940716.000000 133.260000
1484597212.168683 940716.000000 133.650000
1484597212.284929 940716.000000 132.930000
1484597212.389542 940716.000000 132.750000
1484597212.494079 940716.000000 133.400000
1484597212.612855 940716.000000 138.700000
1484597212.717460 940716.000000 132.800000
1484597212.822079 940716.000000 132.610000
1484597212.941946 940716.000000 132.870000
1484597213.046457 940716.000000 132.820000
1484597213.151071 940716.000000 133.050000
1484597213.271500 940716.000000 133.480000
1484597213.376078 940716.000000 132.800000
1484597213.480653 940716.000000 133.940000
1484597213.595837 940716.000000 133.120000
1484597213.700453 940716.000000 132.950000
1484597213.804932 940716.000000 133.250000
1484597213.923302 940716.000000 133.340000
1484597214.027807 940716.000000 133.240000
1484597214.132329 940716.000000 133.080000
1484597214.252079 940716.000000 132.530000
1484597214.356528 940716.000000 133.450000
1484597214.468934 940716.000000 132.910000
1484597214.590562 940716.000000 132.900000
1484597214.695076 940716.000000 133.220000
